"text","category"
"Our team is stuck on the budget proposal this afternoon","Work/Office"
"I had to reinstall the mobile app in a while, because i can't figure out why the office server is so slow this weekend.","Technology"
"Pune ke paas ek chhota sa hotel liya hai humne.","Travel"
"I noticed the new furniture we bought while walking in a while since just a heads up about the neighbor's new dog.","General/Other"
"dopahar se wale the scholarship application ko lekar nervous hoon, jabki pichle hafte se wale the coding assignment ko lekar nervous hoon.","Education"
"I'm nervous about the practical exam scheduled since yesterday, though i have to submit the final exams since two days.","Education"
"Recovering slowly from acidity these days.","Health"
"I'll be working from home since last week to complete the budget proposal, but i have to present the performance review in front of the leadership in a while.","Work/Office"
"mere bhai ne the office printer fix karne mein madad ki uske alawa the operating system internet se connect hi nahi ho raha agle mahine.","Technology"
"I noticed the neighbor's new dog while walking by Friday.","General/Other"
"my external hard drive won't connect to the internet a few minutes ago","Technology"
"dopahar se kamar dard thik nahi ho raha.","Health"
"Samajh nahi aa raha the new software update itna slow kyun hai aajkal.","Technology"
"pichle teen din se my monthly budget pay karna hai isliye a fixed deposit auto-debit ho gaya dopahar se.","Finance"
"dukaandaar ne bola sales deck revise karo thodi der mein.","Work/Office"
"Aakhirkar quarterly report close kar diya pichle teen din se, aur papa ne budget proposal ke baare mein call rakhi hai is mahine.","Work/Office"
"Our itinerary for Darjeeling includes a lot of sightseeing and i just checked in for my connecting flight to Ooty.","Travel"
"mere roommate ne the class test samjhaane mein madad ki aur is weekend wale the coding assignment ko lekar nervous hoon.","Education"
"my the tax filing got auto-debited for the past three days plus there's a discrepancy in my savings account that I need to resolve.","Finance"
"Airport pe security check mein bahut time laga subah se kyunki abhi Shimla wali connecting flight ke liye check-in kar liya.","Travel"
"is weekend online a kitchen mixer order kiya uske alawa sunglasses ki delivery late ho rahi hai do din se.","Shopping"
"do din se thoda time the traffic on the way home sambhalne mein laga.","General/Other"
"a set of headphones cart mein daala hai lekin checkout nahi kiya abhi tak","Shopping"
"I can't shake off this so frustrated feeling thinking about the future.","Mood/Emotion"
"We ordered grilled sandwiches for dinner tomorrow.","Food"
"we finally closed the hiring paperwork tomorrow","Work/Office"
"Recovering slowly from body aches these days.","Health"
"The cab to Mumbai was surprisingly comfortable.","Travel"
"is hafte the community meeting ke baare mein baat hui.","General/Other"
"the Wi-Fi router won't connect to the internet from tomorrow","Technology"
"mummy ne ek achi brand suggest ki a smartwatch ke liye.","Shopping"
"Main bahut motivated feel kar raha hoon purane dosto ki yaad aane se.","Mood/Emotion"
"My savings account got auto-debited this morning","Finance"
"I switched to a new the new software update because the old one kept freezing.","Technology"
"mere bhai ne khush nahi hai team meeting notes ke result se.","Work/Office"
"Hamari team marketing plan pe atki hui hai agle mahine halaanki hamari team client presentation pe atki hui hai kuch minute pehle.","Work/Office"
"my smartwatch app internet se connect hi nahi ho raha is hafte.","Technology"
"The airport security took forever since noon.","Travel"
"mere cousin ne the literature essay samjhaane mein madad ki.","Education"
"agle mahine ghar pe tacos banane ki koshish ki.","Food"
"my sister helped me understand the entrance exam better.","Education"
"the shopkeeper mentioned the traffic on the way home during our chat even though we talked about the power cut yesterday for a while for a couple of hours.","General/Other"
"the doctor recommended a good brand for a new smartphone","Shopping"
"my credit card bill auto-debit ho gaya kal se isliye agle mahine the loan application pay karna hai.","Finance"
"Store mein a study lamp pe badi sale lagi hai kuch minute pehle.","Shopping"
"my laptop internet se connect hi nahi ho raha kal se.","Technology"
"I just checked in for my train to Kerala though i need to pack for Ooty in a while.","Travel"
"the company website keeps crashing this evening.","Technology"
"Aakhirkar Jaipur ke liye road trip ki ticket book kar li.","Travel"
"Samajh nahi aa raha local train loon ya khud drive karke Shimla jaaun.","Travel"
"agle mahine online sunglasses order kiya","Shopping"
"I need to pack for Singapore by Friday.","Travel"
"I just checked in for my overnight bus to Pune.","Travel"
"my neighbor recommended a good brand for a pair of running shoes.","Shopping"
"the delivery for sunglasses is delayed from tomorrow","Shopping"
"I ordered a pair of jeans online since morning, and on top of that my mother recommended a good brand for a pair of jeans.","Shopping"
"Samajh nahi aa raha road trip loon ya khud drive karke Rishikesh jaaun lekin mumbai wali connecting flight Monday se delay ho gayi.","Travel"
"my colleague helped me fix my email account, though i had to reinstall the mobile app since two days.","Technology"
"is hafte the coding assignment submit karna hai","Education"
"I'm not sure whether to take a local train or drive to Shimla.","Travel"
"I just checked in for my road trip to Kerala, because our connecting flight to Darjeeling got delayed for the past three days.","Travel"
"I'm nervous about the online course scheduled since Monday.","Education"
"My the personal loan EMI got auto-debited today.","Finance"
"performance review ki deadline aage badh gayi raat se.","Work/Office"
"The deadline for the marketing plan got moved up since morning plus my cousin is not happy with how the team meeting notes turned out.","Work/Office"
"We're hosting friends since two days and planning to make pasta.","Food"
"ghutno mein dard ki wajah se parso kaam pe nahi ja paaya.","Health"
"I've been feeling content after that argument.","Mood/Emotion"
"thodi der mein tak team meeting notes complete karna hai","Work/Office"
"I need to pack for Dubai from tomorrow","Travel"
"We finally closed the onboarding documents since noon.","Work/Office"
"I can't figure out why the Wi-Fi router is so slow for the past three days.","Technology"
"my external hard drive internet se connect hi nahi ho raha raat se, lekin samajh nahi aa raha my email account itna slow kyun hai subah se.","Technology"
"Jo a winter jacket order kiya tha wo damaged aaya.","Shopping"
"aajkal Mumbai ghumne ka plan bana raha hoon, par do din se Shimla ghumne ka plan bana raha hoon.","Travel"
"I finally cleared the personal loan EMI next month","Finance"
"Abhi Kerala wali flight ke liye check-in kar liya.","Travel"
"I'm still preparing for the online course.","Education"
"Store mein a kitchen mixer pe badi sale lagi hai subah se, uske upar se teacher ne ek achi brand suggest ki a laptop bag ke liye.","Shopping"
"Our team is stuck on the audit checklist next month, while i submitted the onboarding documents a few minutes ago but haven't heard back yet.","Work/Office"
"my colleague mentioned the weekend plans during our chat.","General/Other"
"do din se dinner mein grilled sandwiches order kiya, kyunki us naye cafe ka idli sambar bahut mehenga tha.","Food"
"I just checked in for my connecting flight to Kerala.","Travel"
"I'm craving pancakes right now.","Food"
"Lately I feel so frustrated after that argument, and I don't know why.","Mood/Emotion"
"my brother mentioned a documentary I watched during our chat.","General/Other"
"Blood test karwaya skin par rash ki wajah se","Health"
"Yeh discount zabardast hai.","Shopping"
"abhi the Wi-Fi router reinstall karna pada.","Technology"
"I ordered a laptop bag online tomorrow.","Shopping"
"agle mahine thoda time an old photo album sambhalne mein laga.","General/Other"
"The restaurant's grilled sandwiches was absolutely delicious.","Food"
"Cook karne ka mann nahi hai isliye pancakes order kar rahe hain.","Food"
"my landlord helped me understand the class test better","Education"
"I need to pack for Darjeeling next week.","Travel"
"I'm nervous about the class test scheduled since Monday, because our teacher gave extra homework for the history assignment.","Education"
"Kerala wali cab subah se delay ho gayi.","Travel"
"I have to present the budget proposal in front of the leadership just now.","Work/Office"
"My bank statement got auto-debited today.","Finance"
"The cab to Udaipur was surprisingly comfortable","Travel"
"My credit card bill got auto-debited last night.","Finance"
"I'm nervous about the chemistry lab report scheduled this evening, while i missed a class and now I'm behind on physics.","Education"
"I'm not sure whether to take a flight or drive to Pune, but our road trip to Varanasi got delayed this morning.","Travel"
"the weather ke baare mein kuch interesting padha","General/Other"
"pichle teen din se the semester project submit karna hai","Education"
"my cousin advised me to review my mutual fund investment","Finance"
"abhi online a formal shirt order kiya.","Shopping"
"Aajkal santusht feel ho raha hai sab kuch ek saath ho raha hai isliye.","Mood/Emotion"
"pata nahi kyun par plan cancel hone ke baad bahut nervous lag raha hoon","Mood/Emotion"
"I'm troubleshooting the office server right now","Technology"
"is hafte tak budget proposal complete karna hai isliye mere roommate ne onboarding documents ke baare mein call rakhi hai pichle hafte se.","Work/Office"
"my password manager won't connect to the internet last night.","Technology"
"Our local train to Bangalore got delayed today.","Travel"
"aaj the garden we're planting ke baare mein baat hui.","General/Other"
"My savings account got auto-debited since last night.","Finance"
"We're renting a car once we reach Jaipur.","Travel"
"I need to finish the project timeline before by Friday.","Work/Office"
"without any clear reason, I've just been feeling a little low","Mood/Emotion"
"mummy ne bola thoda rest kar kaan mein infection thik ho jayega kyunki mere colleague ne bola thoda rest kar kaan mein infection thik ho jayega.","Health"
"the office printer achanak kaam karna band kar diya is hafte","Technology"
"my smartwatch app keeps crashing a few minutes ago.","Technology"
"the power cut yesterday came up randomly in conversation tomorrow","General/Other"
"lately I feel nervous after finishing the task finally and I don't know why","Mood/Emotion"
"I'm nervous about the semester project scheduled a few minutes ago","Education"
"my professor suggested I see a specialist because of chest tightness.","Health"
"Our road trip to Goa got delayed for a couple of hours.","Travel"
"I have to submit the history assignment since last week.","Education"
"Dubai wali road trip kuch ghanton se delay ho gayi kyunki samajh nahi aa raha cab loon ya khud drive karke Darjeeling jaaun.","Travel"
"I forgot to mention the family gathering this weekend to you earlier.","General/Other"
"I need to finish the sprint review before a few minutes ago.","Work/Office"
"Sach kahoon toh lambe din ke baad, mann bahut restless hai.","Mood/Emotion"
"abhi se skin par rash thik nahi ho raha uske alawa customer support wale ne bola specialist ko dikhao migraine ke liye.","Health"
"I finally booked a connecting flight ticket to Dubai but i'm planning a trip to Delhi just now.","Travel"
"i'm nervous about the scholarship application scheduled next week","Education"
"I spent some time dealing with the traffic on the way home this weekend and we talked about the long queue at the grocery store for a while tomorrow.","General/Other"
"Lately I feel hopeful since things didn't go as planned, and I don't know why.","Mood/Emotion"
"We talked about a documentary I watched for a while since morning.","General/Other"
"Everyone at home was discussing the traffic on the way home today.","General/Other"
"my friend helped me fix my phone.","Technology"
"Subah se hi akela mehsoos ho raha hai plan cancel hone ke baad.","Mood/Emotion"
"the tax filing mein kuch mismatch hai jise sort karna hai.","Finance"
"do din se the practical exam submit karna hai","Education"
"i missed my connecting local train because of traffic even though i finally booked a connecting flight ticket to Jaipur.","Travel"
"pichle teen din se dost aa rahe hain aur rajma chawal banane ka plan hai.","Food"
"I had to reinstall the office printer a few minutes ago, since my email account suddenly stopped working in a while.","Technology"
"I just checked in for my flight to Kerala, while our train to Darjeeling got delayed next month.","Travel"
"The store had a huge sale on a laptop bag this month.","Shopping"
"my brother is not happy with how the hiring paperwork turned out, and on top of that i'll be working from home last night to complete the vendor contract.","Work/Office"
"the office server keeps crashing this evening","Technology"
"Ladakh wali overnight bus is mahine delay ho gayi uske alawa samajh nahi aa raha local train loon ya khud drive karke Pune jaaun.","Travel"
"mere bhai ne bola the personal loan EMI review karo","Finance"
"I ordered sunglasses online since Monday.","Shopping"
"I'm still preparing for the class test.","Education"
"the operating system suddenly stopped working in a while.","Technology"
"the practical exam expectation se zyada tough nikal raha hai","Education"
"I tried making butter chicken at home this afternoon while we're hosting friends this month and planning to make biryani.","Food"
"Sach kahoon toh future ke baare mein soch kar, mann bahut stressed hai.","Mood/Emotion"
"We're hosting friends from tomorrow and planning to make rajma chawal.","Food"
"I spent some time dealing with the noisy construction nearby from tomorrow.","General/Other"
"I had to skip work due to a skin rash since last night.","Health"
"aakhirkar Pune ke liye local train ki ticket book kar li halaanki is weekend Manali ke liye packing karni hai.","Travel"
"Pata nahi kyun par kuch bhi thik nahi ho raha isliye bahut overwhelmed lag raha hoon","Mood/Emotion"
"We talked about the traffic on the way home for a while since Monday.","General/Other"
"my credit score auto-debit ho gaya Monday se.","Finance"
"Lately I feel so frustrated since things didn't go as planned, and I don't know why.","Mood/Emotion"
"performance review ki deadline aage badh gayi Monday se.","Work/Office"
"an old photo album came up randomly in conversation since Monday.","General/Other"
"I ordered a laptop bag online since last week.","Shopping"
"The cab to Ooty was surprisingly comfortable.","Travel"
"kal my password manager reinstall karna pada.","Technology"
"the cab to Ladakh was surprisingly comfortable","Travel"
"I feel like weakness is getting worse by Friday.","Health"
"professor ne ek achi brand suggest ki a set of headphones ke liye, uske upar se a pair of running shoes ki delivery late ho rahi hai aaj.","Shopping"
"I need to pay my mutual fund investment from tomorrow plus i need to pay the insurance premium by Friday.","Finance"
"i'm nervous about the chemistry lab report scheduled right now, while i'm nervous about the group presentation scheduled last night.","Education"
"the thesis draft ke liye ek study group join kiya.","Education"
"the delivery guy helped me fix the new software update","Technology"
"I woke up feeling really happy after a long day, since lately I feel unusually calm after that argument, and I don't know why.","Mood/Emotion"
"We're hosting friends by Friday and planning to make idli sambar.","Food"
"I've been feeling hopeful after getting that message.","Mood/Emotion"
"I've been dealing with a bad cough this morning but i noticed body aches this weekend and it's not going away.","Health"
"I submitted the code review from tomorrow but haven't heard back yet.","Work/Office"
"subah se chakkar thik nahi ho raha.","Health"
"mummy ne ek jagah bataayi jahan ka pav bhaji zabardast hai.","Food"
"doctor ne bola this month's rent review karo.","Finance"
"my external hard drive won't connect to the internet since last night.","Technology"
"gale mein kharash ki wajah se is mahine kaam pe nahi ja paaya jabki mere dost ne bola specialist ko dikhao badan dard ke liye.","Health"
"Sach kahoon toh wo message padhne ke baad, mann bahut proud hai.","Mood/Emotion"
"mummy ne hiring paperwork ke baare mein call rakhi hai subah se, isliye marketing plan submit kar diya kal lekin abhi tak reply nahi aaya.","Work/Office"
"I finally bought a kitchen mixer after weeks of thinking about it.","Shopping"
"I need to finish the performance review before next month.","Work/Office"
"raat se the online course submit karna hai, lekin abhi wale the literature essay ko lekar nervous hoon.","Education"
"delivery wale ne ek achi brand suggest ki a formal shirt ke liye par agle mahine online a set of headphones order kiya.","Shopping"
"is weekend ghar pe pancakes banane ki koshish ki.","Food"
"store mein a set of headphones pe badi sale lagi hai kal se","Shopping"
"Samajh nahi aa raha the mobile app itna slow kyun hai parso.","Technology"
"the mobile app baar crash ho raha hai Friday tak.","Technology"
"dopahar se leadership ke saamne team meeting notes present karna hai.","Work/Office"
"the company website keeps crashing since Monday.","Technology"
"ooty wali cab kaafi comfortable thi","Travel"
"The airport security took forever this month","Travel"
"Aakhirkar Kerala ke liye train ki ticket book kar li halaanki goa wali train thodi der mein delay ho gayi.","Travel"
"my smartwatch app internet se connect hi nahi ho raha kuch ghanton se uske alawa technician ne the office printer dekha lekin issue nahi mila.","Technology"
"dukaandaar ne the final exams samjhaane mein madad ki.","Education"
"pichle hafte se work from home karke sprint review complete karunga.","Work/Office"
"It's hard to explain but I feel pretty disappointed after a long day because lately I feel a bit lonely after hearing the news, and I don't know why.","Mood/Emotion"
"is mahine ghar pe pancakes banane ki koshish ki","Food"
"Subah se hi kaafi disappointed mehsoos ho raha hai lambe din ke baad.","Mood/Emotion"
"the company website internet se connect hi nahi ho raha raat se, uske upar se mere cousin ne my password manager fix karne mein madad ki.","Technology"
"Main bahut excited feel kar raha hoon us bahas ke baad","Mood/Emotion"
"the new software update achanak kaam karna band kar diya pichle teen din se.","Technology"
"badan dard ki wajah se raat bhar so nahi paaya.","Health"
"Aakhirkar salary aa gayi.","Finance"
"I noticed the traffic on the way home while walking this month.","General/Other"
"I finally booked a connecting flight ticket to Ooty.","Travel"
"aaj my credit score pay karna hai.","Finance"
"I tried making grilled sandwiches at home since noon","Food"
"aaj thoda time the community meeting sambhalne mein laga","General/Other"
"We talked about the neighborhood cat for a while since morning.","General/Other"
"Manali pahunchte hi gaadi rent pe le lenge.","Travel"
"Just a heads up about the long queue at the grocery store.","General/Other"
"aajkal mathematics submit karna hai","Education"
"Is hafte the community meeting ke baare mein baat karni chahiye","General/Other"
"is weekend dinner mein pav bhaji order kiya.","Food"
"aaj this month's rent pay karna hai.","Finance"
"Monday se my external hard drive reinstall karna pada.","Technology"
"We talked about the community meeting for a while by Friday.","General/Other"
"Yeh kaafi khush wala feeling jaa hi nahi raha lambe din ke baad.","Mood/Emotion"
"We ordered biryani for dinner since last week.","Food"
"Samajh nahi aa raha flight loon ya khud drive karke Rishikesh jaaun par pichle teen din se Delhi ghumne ka plan bana raha hoon.","Travel"
"abhi work from home karke performance review complete karunga","Work/Office"
"because I miss my old friends, I've just been feeling demotivated because i woke up feeling really excited because of everything going on lately.","Mood/Emotion"
"Lately I feel extremely stressed after that conversation, and I don't know why, because there's a strange feeling of being content since I've been so busy.","Mood/Emotion"
"the office printer achanak kaam karna band kar diya Friday tak.","Technology"
"mere dost ne the coding assignment samjhaane mein madad ki isliye is hafte wale physics ko lekar nervous hoon.","Education"
"Samajh nahi aa raha overnight bus loon ya khud drive karke Mumbai jaaun isliye friday tak Ladakh ke liye packing karni hai.","Travel"
"I had to skip work due to an ear infection since last night.","Health"
"Stomach is aching badly.","Health"
"my sister mentioned the weekend plans during our chat.","General/Other"
"raat se physics submit karna hai.","Education"
"I have to submit the practical exam from tomorrow but i have to submit the class test this afternoon.","Education"
"I've been dealing with body aches since noon.","Health"
"badan dard ki wajah se agle mahine kaam pe nahi ja paaya aur pet dard ki wajah se kal se kaam pe nahi ja paaya.","Health"
"I finally cleared a fixed deposit this evening.","Finance"
"parso the mobile app reinstall karna pada.","Technology"
"pichle hafte se dinner mein a cheese pizza order kiya uske alawa kuch ghanton se dinner mein rajma chawal order kiya.","Food"
"I'm nervous about the semester project scheduled last night.","Education"
"my neighbor scheduled a call about the marketing plan this afternoon","Work/Office"
"seene mein jakadan ki wajah se raat se kaam pe nahi ja paaya uske alawa teacher ne bola specialist ko dikhao acidity ke liye.","Health"
"kolkata wali train kaafi comfortable thi","Travel"
"my laptop keeps crashing by Friday.","Technology"
"I spent some time dealing with the long queue at the grocery store since last week.","General/Other"
"mere dost ne bola my mutual fund investment review karo lekin my credit card bill auto-debit ho gaya kal raat se.","Finance"
"my father helped me fix my password manager.","Technology"
"I'm craving dosa right now.","Food"
"I need to pack for Dubai since morning.","Travel"
"customer support wale ne physics samjhaane mein madad ki.","Education"
"mere manager ne khush nahi hai vendor contract ke result se aur mere roommate ne bola quarterly report revise karo subah se.","Work/Office"
"lately I feel a little low without any clear reason and I don't know why","Mood/Emotion"
"i need to pay the tax filing for a couple of hours though i finally cleared a fixed deposit just now.","Finance"
"customer support recommended a good brand for a new smartphone.","Shopping"
"naak behna ki wajah se raat bhar so nahi paaya.","Health"
"Packing for the trip now.","Travel"
"Varanasi wali connecting flight kaafi comfortable thi.","Travel"
"mere cousin ne ek jagah bataayi jahan ka idli sambar zabardast hai","Food"
"I've been feeling demotivated after that argument.","Mood/Emotion"
"mere manager ne the thesis draft samjhaane mein madad ki","Education"
"Kal se gale mein kharash pareshan kar raha hai.","Health"
"The restaurant's pav bhaji was absolutely delicious.","Food"
"thodi der mein dost aa rahe hain aur momos banane ka plan hai.","Food"
"subah se walk karte waqt the traffic on the way home dikha.","General/Other"
"mere roommate ne ek achi brand suggest ki a backpack ke liye.","Shopping"
"my roommate helped me understand the group presentation better.","Education"
"Our flight to Mumbai got delayed right now.","Travel"
"i'm planning a trip to Kolkata a few minutes ago, and on top of that i'm planning a trip to Singapore from tomorrow.","Travel"
"Aakhirkar my credit card bill clear kar diya Monday se.","Finance"
"Mujhe aajkal se kamar dard ho raha hai, lekin kamzori ki wajah se raat bhar so nahi paaya.","Health"
"meri behen ne the literature essay samjhaane mein madad ki","Education"
"Lately I feel very motivated because of everything going on lately, and I don't know why","Mood/Emotion"
"parso my online banking pay karna hai.","Finance"
"I can't shake off this demotivated feeling thinking about the future.","Mood/Emotion"
"Everyone at home was discussing an old photo album since Monday because i noticed the new furniture we bought while walking since morning.","General/Other"
"I'm planning a trip to Varanasi since morning.","Travel"
"I have to submit the final exams from tomorrow so i have to submit the group presentation in a while.","Education"
"my boss helped me understand mathematics better.","Education"
"parso my email account reinstall karna pada.","Technology"
"my the insurance premium got auto-debited since last night","Finance"
"Kal deadline hai.","Work/Office"
"I can't figure out why the Wi-Fi router is so slow for a couple of hours.","Technology"
"my colleague helped me fix my password manager.","Technology"
"mere dost ne bola a fixed deposit review karo, jabki the personal loan EMI auto-debit ho gaya pichle teen din se.","Finance"
"I feel like loose motions is getting worse this morning so i noticed body aches today and it's not going away.","Health"
"our teacher gave extra homework for physics","Education"
"We ordered a cheese pizza for dinner next week while my colleague recommended a place that serves amazing butter chicken.","Food"
"Lately I feel quite anxious because nothing seems to be going right, and I don't know why.","Mood/Emotion"
"thodi der mein thoda time the weather sambhalne mein laga.","General/Other"
"I took a half day for a couple of hours to catch up on the quarterly report.","Work/Office"
"mere manager ne the chemistry lab report samjhaane mein madad ki.","Education"
"is weekend the new furniture we bought ke baare mein baat hui.","General/Other"
"my mother suggested I see a specialist because of a migraine","Health"
"I ordered a laptop bag online from tomorrow because the store had a huge sale on a backpack next month.","Shopping"
"I noticed a documentary I watched while walking tomorrow.","General/Other"
"I need to pack for Jaipur tomorrow.","Travel"
"Medical se kamzori ki tablet le aaya.","Health"
"I finally cleared the electricity bill this month.","Finance"
"Sach kahoon toh purane dosto ki yaad aane se, mann bahut emotionally thaka hua hai.","Mood/Emotion"
"The store had a huge sale on a winter jacket just now while the delivery for a pair of jeans is delayed since last night.","Shopping"
"Honestly, I feel very motivated because I miss my old friends, and there's a strange feeling of being nervous after getting that message.","Mood/Emotion"
"subah se dinner mein momos order kiya.","Food"
"a documentary I watched came up randomly in conversation a few minutes ago.","General/Other"
"professor ne the weekend plans ka zikr kiya baat cheet mein.","General/Other"
"Mumbai wali connecting flight kaafi comfortable thi.","Travel"
"mummy ne my password manager fix karne mein madad ki","Technology"
"I need to pay the tax filing this morning and i need to pay my credit score next week.","Finance"
"itna busy rehne ki wajah se bas ek ajeeb sa akela feeling aa rahi hai","Mood/Emotion"
"I've been feeling nervous thinking about the future, so i can't shake off this restless feeling because of everything going on lately.","Mood/Emotion"
"i finally cleared my credit card bill since noon and i need to pay my monthly budget for the past three days.","Finance"
"mere bhai ne my smartwatch app fix karne mein madad ki kyunki is weekend the operating system reinstall karna pada.","Technology"
"I have to present the onboarding documents in front of the leadership this morning.","Work/Office"
"We finally closed the status update since last week.","Work/Office"
"mujhe subah se migraine ho raha hai","Health"
"parso my laptop reinstall karna pada","Technology"
"Store mein sunglasses pe badi sale lagi hai thodi der mein.","Shopping"
"mere roommate ne bola audit checklist revise karo Friday tak kyunki hamari team vendor contract pe atki hui hai abhi.","Work/Office"
"Honestly, I feel hopeful thinking about the future","Mood/Emotion"
"Main restless feel kar raha hoon purane dosto ki yaad aane se.","Mood/Emotion"
"my salary auto-debit ho gaya abhi.","Finance"
"I'm waiting for my refund for a pair of jeans.","Shopping"
"I finally cleared my credit score tomorrow.","Finance"
"The flight to Jaipur was surprisingly comfortable","Travel"
"The store had a huge sale on a pair of running shoes by Friday.","Shopping"
"doctor ne budget proposal ke baare mein call rakhi hai raat se","Work/Office"
"Aajkal hopeful feel ho raha hai cheezein plan ke hisaab se na hone ki wajah se","Mood/Emotion"
"Aakhirkar my credit score clear kar diya is mahine.","Finance"
"the a new smartphone I ordered arrived damaged","Shopping"
"the new software update achanak kaam karna band kar diya subah se.","Technology"
"pichle hafte se work from home karke audit checklist complete karunga.","Work/Office"
"Friday tak wale the final exams ko lekar nervous hoon","Education"
"we talked about the family gathering this weekend for a while for the past three days","General/Other"
"I need to reset my laptop completely.","Technology"
"Aakhirkar my bank statement clear kar diya kal, lekin aakhirkar my online banking clear kar diya kal raat se.","Finance"
"I need to finish the quarterly report before these days.","Work/Office"
"The delivery for a study lamp is delayed just now, and on top of that i ordered a pair of running shoes online since morning.","Shopping"
"abhi walk karte waqt the traffic on the way home dikha.","General/Other"
"my manager helped me understand physics better.","Education"
"this month's rent pay karne ke liye reminder laga diya.","Finance"
"Samajh nahi aa raha my email account itna slow kyun hai kal, par the office server internet se connect hi nahi ho raha dopahar se.","Technology"
"Everyone at home was discussing the long queue at the grocery store this afternoon, but i noticed a documentary I watched while walking since noon.","General/Other"
"Recovering slowly from back pain since two days.","Health"
"aaj Rishikesh ke liye packing karni hai.","Travel"
"agle hafte online a handbag order kiya.","Shopping"
"a pair of jeans ko different size mein exchange karwana hai","Shopping"
"aaj shaam ko half day liya marketing plan complete karne ke liye, jabki agle hafte half day liya sales deck complete karne ke liye.","Work/Office"
"I have to submit mathematics since two days though i'm nervous about physics scheduled in a while.","Education"
"I'm planning a trip to Singapore right now.","Travel"
"pichle hafte se leadership ke saamne sales deck present karna hai.","Work/Office"
"Blood test karwaya chakkar ki wajah se.","Health"
"I had to reinstall my external hard drive since last night.","Technology"
"Store mein a set of headphones pe badi sale lagi hai kuch ghanton se","Shopping"
"my landlord helped me understand the coding assignment better.","Education"
"I'm planning a trip to Pune last night.","Travel"
"It's hard to explain but I feel completely drained because nothing seems to be going right.","Mood/Emotion"
"I have to submit the literature essay today, since i'm nervous about the class test scheduled a few minutes ago.","Education"
"I tried making pasta at home just now.","Food"
"There's a meeting about the team meeting notes scheduled from tomorrow.","Work/Office"
"the office server suddenly stopped working today.","Technology"
"I woke up feeling really happy after that conversation.","Mood/Emotion"
"The deadline for the sales deck got moved up just now.","Work/Office"
"I'm planning to visit the clinic because of joint pain, and on top of that i noticed a headache since last night and it's not going away.","Health"
"mere manager ne ek achi brand suggest ki a pair of jeans ke liye.","Shopping"
"kuch bhi thik nahi ho raha isliye, bas ek ajeeb sa nervous feeling aa rahi hai.","Mood/Emotion"
"I had to reinstall my external hard drive since yesterday","Technology"
"a set of headphones ki delivery late ho rahi hai parso.","Shopping"
"The deadline for the hiring paperwork got moved up from tomorrow, but i took a half day this weekend to catch up on the status update.","Work/Office"
"The store had a huge sale on a handbag today since i ordered a pair of running shoes online these days.","Shopping"
"my mother recommended a place that serves amazing pasta.","Food"
"meri behen ne bola hiring paperwork revise karo kal se.","Work/Office"
"Aakhirkar my online banking clear kar diya thodi der mein.","Finance"
"Bataana mushkil hai lekin bina kisi wajah ke bahut nervous hoon.","Mood/Emotion"
"my father mentioned the weekend plans during our chat.","General/Other"
"I took a half day these days to catch up on the project timeline.","Work/Office"
"I'm craving momos right now","Food"
"kal se online a handbag order kiya.","Shopping"
"Lately I feel restless after that conversation, and I don't know why.","Mood/Emotion"
"I had to reinstall my browser since Monday.","Technology"
"Kal leave le raha hoon.","Work/Office"
"code review ko lekar meeting hai agle mahine isliye agle hafte tak performance review complete karna hai.","Work/Office"
"mere cousin ne bola thoda rest kar gale mein kharash thik ho jayega, par naak behna ki wajah se abhi kaam pe nahi ja paaya.","Health"
"I just checked in for my train to Shimla.","Travel"
"a skin rash has been bothering me in a while.","Health"
"I woke up this morning feeling unusually motivated, like I could finally tackle all the things I've been avoiding for weeks.","Mood/Emotion"
"naak behna ki wajah se aaj shaam ko kaam pe nahi ja paaya.","Health"
"the bank sent a notification about my mutual fund investment and i need to pay my online banking this morning.","Finance"
"is mahine the traffic on the way home ke baare mein baat hui.","General/Other"
"Aakhirkar this month's rent clear kar diya pichle teen din se.","Finance"
"Our flight to Ooty got delayed in a while, and i finally booked a connecting flight ticket to Singapore.","Travel"
"an old photo album came up randomly in conversation tomorrow.","General/Other"
"Bataana mushkil hai lekin kuch bhi thik nahi ho raha isliye bahut poori tarah drained hoon.","Mood/Emotion"
"sunglasses ki delivery late ho rahi hai Friday tak par a laptop bag ki delivery late ho rahi hai is mahine.","Shopping"
"thodi der mein online a study lamp order kiya.","Shopping"
"Subah se hi restless mehsoos ho raha hai kuch bhi thik nahi ho raha isliye.","Mood/Emotion"
"I'm not sure whether to take a flight or drive to Goa.","Travel"
"We ordered rajma chawal for dinner today","Food"
"aajkal my mutual fund investment pay karna hai isliye aakhirkar the personal loan EMI clear kar diya kal raat se.","Finance"
"my mother recommended a good brand for a backpack.","Shopping"
"Goa wali cab pichle teen din se delay ho gayi","Travel"
"i finally perfected my recipe for momos","Food"
"mere manager ne the group presentation samjhaane mein madad ki halaanki boss ne the group presentation samjhaane mein madad ki.","Education"
"parso online a laptop bag order kiya.","Shopping"
"my landlord asked me to revise the team meeting notes next month.","Work/Office"
"the mobile app internet se connect hi nahi ho raha kal se.","Technology"
"Pata nahi kyun par bina kisi wajah ke bahut motivated lag raha hoon.","Mood/Emotion"
"ghutno mein dard ki wajah se agle mahine kaam pe nahi ja paaya, uske upar se abhi se halka bukhar thik nahi ho raha.","Health"
